Year,Month,Day,Hour,Min,Second,North,East,Depth(km),Richter tal
2016,9,25,11,8,43.6,57795,6745,75.0,2.7
2016,9,24,14,28,10.3,58200,7329,16.5,1.1
2016,9,23,13,16,50.5,58581,6418,0.0,2.7
2016,9,23,13,1,2.1,56499,16052,19.0,2.1
2016,9,23,10,51,33.4,58452,5526,16.5,2.9
2016,9,23,8,0,50.7,57701,11753,9.3,0.8
2016,9,22,10,20,13.0,56041,13947,0.1,1.8
2016,9,21,12,25,49.9,56864,17035,36.4,2.4
2016,9,15,12,27,2.6,56063,13859,14.1,1.7
2016,9,15,11,14,25.3,54199,16858,19.7,2.0
2016,9,15,11,13,25.6,54502,16797,0.7,1.8
2016,9,15,10,30,48.5,56007,13581,0.0,2.0
2016,9,14,13,17,56.3,56053,13993,0.0,1.0
2016,9,14,11,4,11.7,55705,13288,0.1,2.0
2016,9,12,12,25,43.0,56172,14719,0.0,1.4
2016,9,9,13,15,41.8,58277,6787,15.0,2.3
2016,9,8,10,3,36.2,56187,13709,2.3,1.6
2016,9,2,12,29,31.0,56206,14747,10.0,1.4
2016,9,2,9,1,48.3,55710,13386,2.5,2.2
2016,9,1,14,32,29.9,58326,11903,1.1,1.0
2016,9,1,13,55,47.5,57661,12325,0.0,1.0
2016,9,1,13,3,0.1,58348,15631,0.0,1.0
2016,9,1,12,36,44.2,57664,12336,2.4,1.0
2016,9,1,11,24,38.6,57876,13323,0.0,1.1
2016,9,1,11,6,7.3,56764,15990,85.7,1.0
2016,8,31,13,18,8.7,58211,6504,0.0,2.5
2016,8,31,11,40,9.4,56206,15457,6.0,1.6
2016,8,31,10,43,9.8,56807,12935,0.0,1.6
2016,8,31,10,8,46.6,56531,13191,2.7,1.3
2016,8,30,13,40,3.8,57692,12825,1.0,2.1
2016,8,30,12,4,7.4,57633,14069,8.6,2.3
2016,8,29,17,21,56.8,58315,7459,0.0,0.9
2016,8,26,12,33,21.0,55656,13402,0.1,1.2
2016,8,26,11,6,6.3,56060,13965,0.0,0.9
2016,8,25,13,17,54.5,58344,6440,5.5,2.0
2016,8,19,7,42,10.7,56841,11325,20.3,1.6
2016,8,18,15,33,53.9,57949,5576,5.9,2.4
2016,8,18,15,0,12.7,58394,8731,14.6,1.8
2016,8,18,10,21,24.8,58873,6049,23.2,1.6
2016,8,17,13,22,6.0,57975,6145,18.3,2.5
2016,8,17,11,36,13.2,57751,14503,20.6,1.8
2016,8,16,12,59,12.9,57535,13061,13.0,2.4
2016,8,16,11,2,32.3,56785,14646,0.0,1.8
2016,8,16,2,30,47.4,57190,12187,10.4,1.8
2016,8,15,12,9,12.4,58276,6258,0.0,1.0
2016,8,15,11,43,11.5,58145,15061,9.2,1.9
2016,8,13,0,47,35.9,58130,6891,20.8,1.0
2016,8,10,10,46,26.8,56546,13921,0.0,1.5
2016,7,28,7,12,50.8,57667,12300,7.3,0.3
2016,7,21,15,36,56.4,58613,10984,700.0,3.7
2016,7,21,12,0,19.4,58779,5860,9.5,1.8
2016,7,20,18,21,58.3,57269,12353,11.5,2.5
2016,7,20,12,54,32.1,57663,12313,1.8,1.8
2016,7,19,11,30,8.9,58839,11086,3.8,2.0
2016,7,18,21,26,18.9,58459,11584,700.0,3.3
2016,7,16,17,44,41.3,58683,16823,152.8,3.0
2016,7,14,21,57,0.6,55796,12007,15.3,1.3
2016,7,14,13,49,30.7,58840,4920,119.6,1.6
2016,7,14,13,17,42.1,58842,9419,5.6,2.2
2016,7,14,13,1,29.6,58887,13662,0.0,2.5
2016,7,14,12,54,0.0,57745,12527,26.6,2.1
2016,7,14,12,27,25.6,56112,14677,14.6,1.4
2016,7,14,11,5,32.2,58342,13694,0.1,2.4
2016,7,13,11,6,59.8,56530,13180,0.0,2.1
2016,7,7,17,34,11.7,53184,17274,0.0,1.6
2016,7,6,12,39,14.9,58173,12036,0.0,1.5
2016,7,6,9,42,7.8,56419,13272,0.0,1.3
2016,7,5,13,8,57.2,58640,13535,0.0,2.2
2016,7,5,12,58,22.0,54285,16806,2.8,1.8
2016,7,5,12,43,42.5,57707,11846,2.8,2.1
2016,7,5,11,55,19.7,57302,12368,0.0,1.5
2016,7,5,9,59,20.6,55667,13420,1.4,1.5
2016,7,4,12,37,56.0,56190,14705,0.0,1.0
2016,7,1,13,21,6.0,57434,6101,14.2,3.0
2016,7,1,9,33,7.8,55695,13459,47.2,0.2
2016,6,28,23,34,29.4,57552,7272,64.2,3.0
2016,6,23,10,42,8.2,56008,13563,5.2,2.1
2016,6,23,8,47,2.6,57149,7438,30.2,2.3
2016,6,20,12,51,10.8,56055,14011,15.0,1.9
2016,6,18,10,49,20.3,54193,10301,39.9,2.5
2016,6,17,10,50,33.3,56573,15927,0.0,1.7
2016,6,16,18,50,0.2,57587,7377,56.0,1.8
2016,6,15,11,45,25.5,56531,13923,0.0,1.2
2016,6,15,10,36,4.0,56262,13035,0.0,1.8
2016,6,14,13,10,21.8,58542,8305,42.9,0.9
2016,6,14,11,12,55.0,56843,15009,0.0,1.5
2016,6,13,14,16,16.9,58330,8953,0.0,1.4
2016,6,13,13,38,46.7,58261,8522,4.4,1.9
2016,6,13,7,15,44.2,54484,14470,15.0,1.1
2016,6,10,13,10,7.2,58966,15260,0.0,1.8
2016,6,10,12,28,49.2,56155,14721,0.0,1.9
2016,6,10,11,12,2.4,56650,14565,20.9,1.8
2016,5,26,15,59,47.3,58006,5770,21.6,2.4
2016,5,26,14,9,34.7,58378,8728,24.5,2.1
2016,5,26,12,32,5.7,56177,14707,1.0,1.5
2016,5,26,9,15,50.4,55925,15543,22.5,0.7
2016,5,25,10,55,5.2,56744,12879,0.0,1.8
